Attrition,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,80,0,12,3,3,4,2,0,3
No,80,0,10,2,2,10,4,0,9
No,80,1,7,2,3,7,7,0,7
Yes,80,0,1,3,3,1,0,0,0
No,80,1,10,1,3,3,2,1,2
No,80,1,6,3,2,5,3,1,2
No,80,0,16,3,3,15,10,6,11
Yes,80,0,6,0,3,2,0,2,2
No,80,1,16,4,4,8,7,1,7
No,80,1,6,3,3,0,0,0,0
No,80,1,10,3,3,10,0,7,9
No,80,1,20,3,3,20,11,0,7
No,80,1,29,2,2,1,0,0,0
Yes,80,0,8,2,3,4,1,0,3
No,80,2,10,0,4,5,2,0,3
No,80,0,28,3,3,5,4,4,3
No,80,2,14,4,3,0,0,0,0
Yes,80,0,1,2,3,1,0,0,0
No,80,1,6,2,1,5,3,0,4
No,80,0,5,3,2,5,3,1,4
No,80,1,4,3,4,4,2,2,3
No,80,0,5,3,3,5,4,0,2
No,80,0,14,3,2,14,8,2,1
No,80,1,9,2,2,8,7,1,1
No,80,0,8,6,2,7,7,7,6
No,80,1,6,5,2,5,3,0,2
No,80,1,9,6,3,5,1,1,2
No,80,0,10,6,3,10,8,8,7
Yes,80,1,6,2,2,4,1,0,3
No,80,0,20,3,2,1,0,0,0
No,80,0,10,2,3,10,8,0,9
No,80,0,7,5,3,7,7,0,7
No,80,0,8,1,3,1,0,0,0
Yes,80,0,10,4,3,10,7,0,8
Yes,80,0,15,2,2,2,2,2,2
No,80,2,9,6,2,4,3,2,3
No,80,3,9,2,3,9,7,2,8
No,80,1,10,1,3,10,9,0,9
No,80,1,7,2,3,6,2,1,2
No,80,1,35,0,3,10,9,1,4
No,80,3,1,4,3,1,0,0,0
No,80,0,21,3,3,20,8,11,10
No,80,0,20,2,3,20,9,3,7
No,80,1,13,2,4,11,7,4,8
No,80,0,9,3,3,5,2,1,4
No,80,0,4,2,2,4,3,1,2
No,80,0,5,6,4,5,2,1,4
No,80,1,10,2,4,10,9,9,4
No,80,1,15,4,3,11,8,5,10
No,80,0,6,3,3,2,0,1,2
No,80,0,12,6,2,12,8,1,7
No,80,1,7,2,2,2,2,0,2
No,80,0,25,3,3,17,14,12,11
No,80,3,1,2,2,1,1,0,0
No,80,2,16,3,3,15,13,5,8
No,80,1,3,1,3,2,2,1,2
No,80,1,10,1,3,8,3,7,7
No,80,1,9,3,2,4,3,1,2
No,80,1,12,3,3,5,3,1,0
No,80,2,14,3,1,13,8,5,12
No,80,1,5,3,3,2,2,2,2
No,80,0,4,2,4,3,2,1,2
No,80,0,10,5,3,10,7,0,8
No,80,1,10,6,3,9,7,8,1
No,80,0,6,3,3,6,2,4,1
No,80,2,8,3,2,1,0,0,0
No,80,1,3,2,3,2,2,2,2
No,80,0,18,2,3,7,7,1,7
No,80,1,20,3,3,18,16,1,11
No,80,2,14,3,3,14,10,5,7
No,80,1,16,2,3,16,11,6,8
No,80,1,6,3,2,5,3,0,4
No,80,2,16,3,2,9,8,0,0
No,80,0,6,2,3,4,3,1,2
No,80,0,2,6,3,2,2,1,2
No,80,0,21,3,2,6,0,1,3
Yes,80,1,1,3,2,1,0,1,0
No,80,2,10,2,3,9,7,3,4
No,80,3,18,3,3,4,2,0,2
No,80,1,13,2,2,13,12,1,9
Yes,80,3,4,3,4,2,2,2,2
No,80,0,24,2,2,22,6,4,14
Yes,80,1,14,4,1,10,9,9,8
No,80,1,21,3,3,20,7,0,10
No,80,2,8,2,3,8,7,1,7
No,80,1,15,4,2,15,12,11,11
No,80,1,14,5,3,5,4,0,4
No,80,0,4,4,3,4,2,1,2
No,80,0,9,2,3,9,0,1,7
No,80,1,10,1,3,10,7,1,9
Yes,80,2,12,3,3,6,3,0,1
No,80,1,8,2,2,6,3,0,0
No,80,0,8,3,3,5,3,0,1
No,80,0,8,2,3,2,2,2,2
No,80,2,10,2,4,10,2,0,2
No,80,3,20,2,3,5,3,0,2
No,80,1,4,5,3,4,3,1,1
No,80,1,10,2,3,4,3,0,3
No,80,0,5,3,1,5,4,0,4
Yes,80,1,20,3,3,3,2,2,0
No,80,1,21,2,2,20,9,9,6
No,80,0,10,2,3,9,4,1,7
No,80,0,5,2,3,4,2,0,0
No,80,1,17,3,3,5,2,0,3
No,80,1,9,5,3,7,7,1,7
No,80,1,6,0,3,6,2,0,3
No,80,0,17,3,2,9,6,0,8
No,80,0,6,3,4,4,3,1,2
